dateTime,day T,night T,precipitation,pressure,huminity,wind,energy
2019-12-09,7,5,2,737,80,8,101.50572916666665
2019-12-10,4,2,1,760,72,4,198.5310416666667
2019-12-11,4,2,2,749,89,4,230.76010416666668
2019-12-12,5,3,2,743,82,5,142.11041666666665
2019-12-13,3,1,3,728,85,5,245.24854166666668
2019-12-14,6,2,2,734,79,10,424.99322916666665
2019-12-15,8,2,1,743,55,8,432.18333333333334
2019-12-16,8,4,2,748,84,3,145.04625
2019-12-17,13,6,1,747,59,5,214.95770833333336
2019-12-18,8,8,1,753,81,1,144.59895833333334
2019-12-19,12,4,0,752,65,3,193.34677083333335
2019-12-20,12,6,1,738,58,3,259.0683333333333
2019-12-21,8,5,1,738,75,5,148.88677083333334
2019-12-22,9,4,2,732,77,3,172.1428125
2019-12-23,8,7,2,745,76,7,267.4873958333333
2019-12-24,7,5,2,749,77,5,201.30375
2019-12-25,7,6,2,755,85,4,114.0903125
2019-12-26,5,3,1,761,86,4,33.77333333333333
2019-12-27,3,1,1,766,86,3,43.464999999999996
2019-12-28,2,-1,1,774,72,1,38.328541666666666
2019-12-29,4,-1,1,771,51,2,95.48635416666667
2019-12-30,6,1,1,765,39,5,254.33458333333337
2019-12-31,7,2,1,766,79,6,131.25750000000002
2020-12-01,5,2,2,754,92,1,405.3520833333334
2020-12-02,5,1,1,756,77,2,523.92125
2020-12-03,4,-1,1,744,79,4,484.57177083333335
2020-12-04,6,0,1,736,67,4,55.39031249999999
2020-12-05,4,-1,2,742,71,1,90.42833333333333
2020-12-06,4,0,1,744,87,1,94.258125
2020-12-07,8,4,1,741,69,6,30.039895833333333
2020-12-08,5,0,1,747,79,2,87.70937500000001
2020-12-09,3,0,2,749,93,2,106.69177083333334
2019-01-09,3,2,5,751,78,7,90.46958333333333
2019-01-10,4,-1,1,762,70,3,171.2607291666667
2019-01-11,5,0,2,756,97,5,154.35187499999998
2019-01-12,6,3,2,753,87,7,47.35427083333334
2020-01-01,5,0,0,768,63,1,49.849895833333335
2020-01-02,6,1,0,762,53,3,504.1033333333333
2020-01-03,9,2,2,754,81,9,388.4727083333334
2020-01-04,6,3,2,759,81,10,88.10927083333331
2020-01-05,5,0,1,767,91,3,147.11072916666663
2020-01-06,6,4,1,763,76,3,83.20489583333334
2020-01-07,6,1,1,762,90,4,119.27072916666664
2020-01-08,9,4,2,756,89,6,59.80677083333333
2020-01-09,11,7,2,753,86,7,28.8084375
2020-01-13,7,4,1,755,77,5,180.25114583333334
2020-01-14,10,4,2,747,74,8,478.86145833333336
2020-01-15,12,9,1,750,58,8,446.23937499999994
2020-01-16,9,4,0,761,64,3,174.21156249999999
2020-01-17,10,5,1,755,66,3,233.5225
2020-01-18,6,5,2,759,79,8,238.78020833333335
2020-01-19,6,0,1,769,78,4,89.48177083333333
2020-01-20,6,0,1,777,84,2,63.45635416666667
2020-01-21,6,0,0,772,60,4,111.29791666666667
2020-01-22,6,0,1,768,85,4,68.62958333333334
2020-01-23,4,1,1,767,86,1,24.070729166666666
2020-01-24,5,0,1,760,65,3,58.72458333333333
2020-01-25,4,0,1,758,68,3,47.18770833333334
2020-01-26,6,0,1,756,74,2,77.07666666666667
2020-01-27,8,1,2,749,79,7,235.69822916666666
2020-01-28,6,5,6,733,82,8,459.04208333333344
2020-01-29,5,2,2,743,70,9,434.0898958333334
2020-01-30,7,2,2,746,81,7,447.70031249999994
2020-01-31,10,5,2,748,77,7,498.01833333333326
2019-02-09,9,6,2,746,64,10,74.87770833333333
2019-02-10,10,5,2,736,74,9,202.56927083333335
2019-02-11,6,6,2,748,57,11,231.2230208333333
2019-02-12,6,2,2,763,62,6,100.74291666666666
2020-02-01,12,10,2,743,85,5,113.37281250000001
2020-02-02,8,6,2,750,77,7,298.78479166666665
2020-02-03,9,7,2,749,79,8,108.53749999999998
2020-02-04,6,3,2,749,71,7,208.6455208333333
2020-02-05,4,-1,1,767,65,3,147.8378125
2020-02-06,5,0,1,764,85,4,27.947604166666668
2020-02-07,7,1,1,763,72,2,67.19927083333334
2020-02-08,8,1,1,758,60,4,47.48583333333334
2020-02-09,10,4,2,750,65,11,11.566458333333332
2020-02-13,6,0,3,746,77,5,243.240625
2020-02-14,7,3,2,754,84,6,113.37166666666667
2020-02-15,10,3,1,755,71,5,332.31750000000005
2020-02-16,15,7,2,747,64,11,615.9444791666666
2020-02-17,9,7,1,753,58,8,469.33447916666665
2020-02-18,6,5,2,758,64,9,504.07479166666667
2020-02-19,7,5,2,754,66,9,399.3203125
2020-02-20,9,1,2,755,75,5,374.08166666666665
2020-02-21,6,3,2,761,68,8,454.57874999999996
2020-02-22,10,4,2,751,65,12,623.9663541666667
2020-02-23,10,6,2,747,96,2,483.9236458333333
2020-02-24,7,3,2,755,72,4,320.7732291666667
2020-02-25,7,6,2,741,63,11,459.85010416666665
2020-02-26,5,1,3,737,80,5,216.165625
2020-02-27,9,0,2,743,58,5,133.07260416666668
2020-02-28,7,1,1,754,65,7,300.57395833333334
2020-02-29,12,2,2,736,73,8,432.84906249999995
2019-03-09,11,5,2,747,72,10,126.61145833333335
2019-03-10,8,4,2,743,83,1,96.11010416666666
2019-03-11,5,2,3,751,70,9,105.91604166666666
2019-03-12,7,0,2,753,66,7,86.6171875
2020-03-01,8,3,2,741,63,8,335.1854166666667
2020-03-02,9,3,2,737,67,4,338.5178125
2020-03-03,7,4,2,743,66,7,124.83489583333335
2020-03-04,8,1,2,750,79,5,137.589375
2020-03-05,9,1,2,742,66,5,41.24229166666667
2020-03-06,8,4,2,733,89,2,52.71895833333334
2020-03-07,8,3,2,753,70,6,98.22031249999999
2020-03-08,10,3,2,752,71,8,29.435937499999998
2020-03-09,10,6,2,751,71,5,114.56114583333333
2020-03-13,7,4,2,751,74,12,393.41458333333327
2020-03-14,8,-1,1,761,51,4,97.45354166666668
2020-03-15,12,2,1,755,55,7,264.57177083333335
2020-03-16,14,5,1,758,60,4,59.32125
2020-03-17,13,7,1,764,52,5,106.44614583333333
2020-03-18,15,5,1,761,59,6,165.1909375
2020-03-19,12,9,2,761,77,2,23.915833333333335
2020-03-20,9,6,2,762,77,3,106.8428125
2020-03-21,9,1,0,766,53,7,303.3311458333333
2020-03-22,8,-1,0,769,42,7,277.47781249999997
2020-03-23,6,-3,0,771,34,5,197.93552083333336
2020-03-24,7,-2,0,769,33,6,165.78135416666666
2020-03-25,8,-3,1,766,37,6,171.0002083333333
2020-03-26,10,-2,0,761,46,7,218.3610416666667
2020-03-27,13,0,1,759,58,6,199.45052083333334
2020-03-28,12,2,1,759,49,4,166.72041666666667
2020-03-29,4,1,3,762,74,9,323.6273958333333
2020-03-30,6,-3,2,760,59,4,101.78322916666667
2020-03-31,6,-2,1,766,44,1,46.34645833333334
2019-04-09,13,3,1,753,54,6,130.93135416666667
2019-04-10,10,-2,1,756,47,5,127.11114583333334
2019-04-11,8,-3,1,762,48,5,98.9321875
2019-04-12,6,-2,3,762,56,5,71.855
2020-04-01,8,-2,2,757,59,5,387.955
2020-04-02,9,0,2,752,59,6,310.01697916666666
2020-04-03,9,1,2,753,53,6,75.06458333333333
2020-04-04,11,0,0,762,45,1,56.26958333333334
2020-04-05,16,3,0,762,52,6,73.02385416666667
2020-04-06,20,5,0,760,46,3,62.51989583333333
2020-04-07,17,9,1,767,61,1,254.52833333333334
2020-04-08,21,6,1,762,49,1,27.084999999999997
2020-04-09,17,9,2,762,50,4,77.05416666666667
2020-04-13,10,5,1,758,42,5,309.25895833333334
2020-04-14,8,-1,2,761,54,6,112.70010416666666
2020-04-15,14,1,1,760,53,6,84.94635416666667
2020-04-16,18,5,1,755,48,2,50.64791666666665
2020-04-17,15,4,1,757,47,2,35.311458333333334
2020-04-18,17,4,1,755,54,4,97.21958333333333
2020-04-19,13,2,0,761,42,6,196.56364583333334
2020-04-20,14,1,0,761,50,8,322.2758333333333
2020-04-21,15,4,0,761,51,8,393.8064583333333
2020-04-22,17,5,0,761,52,7,239.62625000000003
2020-04-23,18,5,1,759,50,4,53.6446875
2020-04-24,18,9,2,751,50,6,157.1109375
2020-04-25,15,6,1,752,50,2,65.6315625
2020-04-26,18,3,1,749,45,3,13.347916666666668
2020-04-27,19,4,1,748,47,4,31.153750000000002
2020-04-28,19,8,2,746,67,1,47.55239583333333
2020-04-29,16,7,2,746,73,4,88.05385416666667
2020-04-30,16,9,2,745,66,8,182.73739583333335
2019-05-09,17,9,2,741,56,5,219.52291666666667
2019-05-10,12,8,2,749,84,7,100.796875
2019-05-11,9,5,2,751,94,5,61.40229166666668
2019-05-12,14,2,1,766,47,5,151.010625
