Month,Device,Place,BannerType,QueryType,TargetingType,Shows,Clicks,Cost,Conversions
4/1/2021,Desktop,Networks,cpc_video,none,Phrase,0,0,0,0
4/1/2021,Desktop,Networks,cpc_video,none,Retargeting,5949,41,1667,0
4/1/2021,Mobile,Networks,cpc_video,none,Retargeting,191,6,41,0
4/1/2021,Desktop,Networks,image_ad,none,Retargeting,227,1,46,0
4/1/2021,Mobile,Networks,image_ad,none,Retargeting,18,0,0,0
4/1/2021,Desktop,Networks,image_ad,none,Retargeting,4478944,9157,494979,20
4/1/2021,Mobile,Networks,image_ad,none,Phrase,0,0,0,0
4/1/2021,Mobile,Networks,image_ad,none,Retargeting,4075736,53097,1139652,35
4/1/2021,Desktop,Networks,image_ad,none,Phrase,531,4,99,0
4/1/2021,Desktop,Networks,image_ad,none,Retargeting,215,2,53,0
4/1/2021,Desktop,Networks,image_ad,none,Phrase,161756,428,11092,0
4/1/2021,Desktop,Networks,image_ad,none,Retargeting,850,1,14,0
4/1/2021,Mobile,Networks,image_ad,none,Phrase,2221,46,395,0
4/1/2021,Mobile,Networks,image_ad,none,Retargeting,6,0,0,0
4/1/2021,Desktop,Networks,image_ad,none,Phrase,136702,636,23166,11
4/1/2021,Desktop,Networks,image_ad,none,Retargeting,885842,1265,69314,9
4/1/2021,Mobile,Networks,image_ad,none,Phrase,52081,1130,9344,4
4/1/2021,Mobile,Networks,image_ad,none,Retargeting,83050,1732,23342,4
4/1/2021,Desktop,Search,mcbanner,Brand,Phrase,18102,25,9585,5
4/1/2021,Desktop,Search,mcbanner,Other,Phrase,2,0,0,0
4/1/2021,Mobile,Search,mcbanner,Brand,Phrase,29,0,0,0
4/1/2021,Desktop,Search,mcbanner,Brand,Phrase,0,0,0,0
4/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,0,0,0,0
4/1/2021,Desktop,Search,mcbanner,Other,Phrase,0,0,0,0
4/1/2021,Mobile,Search,mcbanner,Other,Phrase,0,0,0,0
4/1/2021,Desktop,Search,mcbanner,Brand,Phrase,2975,4,857,3
4/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,28785,39,8961,1
4/1/2021,Desktop,Search,mcbanner,Other,Phrase,7267,17,4314,1
4/1/2021,Mobile,Search,mcbanner,Brand,Phrase,4,0,0,0
4/1/2021,Mobile,Search,mcbanner,Competitor,Phrase,26,0,0,0
4/1/2021,Mobile,Search,mcbanner,Other,Phrase,14,0,0,0
4/1/2021,Desktop,Search,mcbanner,Brand,Phrase,88957,126,194077,11
4/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,25218,100,90052,6
4/1/2021,Desktop,Search,mcbanner,Other,Phrase,189589,350,355323,30
4/1/2021,Mobile,Search,mcbanner,Brand,Phrase,233,2,3962,0
4/1/2021,Mobile,Search,mcbanner,Competitor,Phrase,186,0,0,0
4/1/2021,Mobile,Search,mcbanner,Other,Phrase,990,2,1333,0
4/1/2021,Desktop,Networks,text,none,Retargeting,8058,2,70,0
4/1/2021,Desktop,Search,text,Brand,Phrase,116792,14468,1849877,1381
4/1/2021,Desktop,Search,text,Competitor,Phrase,0,0,0,0
4/1/2021,Desktop,Search,text,Other,Phrase,3,0,0,0
4/1/2021,Mobile,Networks,text,none,Retargeting,228,0,0,0
4/1/2021,Mobile,Search,text,Brand,Phrase,20752,6924,670502,416
4/1/2021,Mobile,Search,text,Competitor,Phrase,0,0,0,0
4/1/2021,Mobile,Search,text,Other,Phrase,10,2,250,0
4/1/2021,Desktop,Networks,text,none,Phrase,0,0,0,0
4/1/2021,Desktop,Networks,text,none,Retargeting,11237478,8680,773057,43
4/1/2021,Desktop,Search,text,Brand,Phrase,688496,41265,2895871,2196
4/1/2021,Desktop,Search,text,Competitor,Phrase,446336,3363,1805011,152
4/1/2021,Desktop,Search,text,Other,Phrase,705082,19727,8856218,882
4/1/2021,Mobile,Networks,text,none,Phrase,0,0,0,0
4/1/2021,Mobile,Networks,text,none,Retargeting,3039326,18429,512132,54
4/1/2021,Mobile,Search,text,Brand,Phrase,1461885,12364,996311,803
4/1/2021,Mobile,Search,text,Competitor,Phrase,108920,1998,1437992,70
4/1/2021,Mobile,Search,text,Other,Phrase,400921,14759,6047700,576
4/1/2021,Desktop,Networks,text,none,Phrase,5053827,2531,74531,0
4/1/2021,Desktop,Networks,text,none,Retargeting,45630,50,1536,0
4/1/2021,Desktop,Search,text,Brand,Phrase,6933,1036,27637,0
4/1/2021,Desktop,Search,text,Competitor,Phrase,11951,420,30361,0
4/1/2021,Desktop,Search,text,Other,Phrase,28494,1362,165138,0
4/1/2021,Mobile,Networks,text,none,Phrase,27647,396,4190,0
4/1/2021,Mobile,Networks,text,none,Retargeting,462,16,173,0
4/1/2021,Mobile,Search,text,Brand,Phrase,5182,501,11097,0
4/1/2021,Mobile,Search,text,Competitor,Phrase,5385,171,24943,0
4/1/2021,Mobile,Search,text,Other,Phrase,12877,514,92334,0
4/1/2021,Desktop,Networks,text,none,Phrase,4572545,3260,134282,18
4/1/2021,Desktop,Networks,text,none,Retargeting,467054,300,6738,0
4/1/2021,Desktop,Search,text,Brand,Phrase,17018,2992,911865,329
4/1/2021,Desktop,Search,text,Competitor,Phrase,10034,127,58711,10
4/1/2021,Desktop,Search,text,Other,Phrase,123092,2792,1711944,171
4/1/2021,Mobile,Networks,text,none,Phrase,234210,1107,16142,1
4/1/2021,Mobile,Networks,text,none,Retargeting,134097,846,11077,1
4/1/2021,Mobile,Search,text,Brand,Phrase,2369,906,368690,75
4/1/2021,Mobile,Search,text,Competitor,Phrase,2702,44,29731,2
4/1/2021,Mobile,Search,text,Other,Phrase,35967,830,550531,27
4/1/2021,Desktop,Networks,text,none,Phrase,0,0,0,0
4/1/2021,Desktop,Networks,text,none,Retargeting,0,0,0,0
4/1/2021,Desktop,Search,text,Brand,Phrase,102266,19312,2257788,1939
4/1/2021,Desktop,Search,text,Competitor,Phrase,66053,620,146688,23
4/1/2021,Desktop,Search,text,Other,Phrase,107253,2713,425673,58
4/1/2021,Mobile,Networks,text,none,Phrase,0,0,0,0
4/1/2021,Mobile,Search,text,Brand,Phrase,51704,9218,1291837,367
4/1/2021,Mobile,Search,text,Competitor,Phrase,32419,696,622819,9
4/1/2021,Mobile,Search,text,Other,Phrase,78045,3041,2563017,57
4/1/2021,Desktop,Networks,text,none,Phrase,0,0,0,0
4/1/2021,Desktop,Networks,text,none,Retargeting,1367458,2348,156144,9
4/1/2021,Desktop,Search,text,Brand,Phrase,123120,25281,2624299,1344
4/1/2021,Desktop,Search,text,Competitor,Phrase,386188,4527,683718,174
4/1/2021,Desktop,Search,text,Other,Phrase,715675,27831,2784331,1039
4/1/2021,Mobile,Networks,text,none,Phrase,0,0,0,0
4/1/2021,Mobile,Networks,text,none,Retargeting,423961,4422,70773,3
4/1/2021,Mobile,Search,text,Brand,Phrase,21338,4722,655870,336
4/1/2021,Mobile,Search,text,Competitor,Phrase,76282,2338,227127,35
4/1/2021,Mobile,Search,text,Other,Phrase,203530,5405,606856,176
4/1/2021,Desktop,Networks,cpm_banner,none,Phrase,0,0,0,0
4/1/2021,Desktop,Networks,cpm_banner,none,Retargeting,0,0,0,0
4/1/2021,Mobile,Networks,cpm_banner,none,Phrase,0,0,0,0
4/1/2021,Mobile,Networks,cpm_banner,none,Retargeting,0,0,0,0
4/1/2021,Desktop,Networks,cpm_banner,none,Retargeting,0,0,0,0
5/1/2021,Desktop,Networks,cpc_video,none,Retargeting,19984,120,7753,0
5/1/2021,Mobile,Networks,cpc_video,none,Retargeting,558,13,215,0
5/1/2021,Desktop,Networks,image_ad,none,Retargeting,5727954,14558,701834,18
5/1/2021,Mobile,Networks,image_ad,none,Phrase,0,0,0,0
5/1/2021,Mobile,Networks,image_ad,none,Retargeting,4185276,55353,1201251,33
5/1/2021,Desktop,Networks,image_ad,none,Phrase,3401,35,545,0
5/1/2021,Desktop,Networks,image_ad,none,Retargeting,460,0,0,0
5/1/2021,Mobile,Networks,image_ad,none,Phrase,1,0,0,0
5/1/2021,Desktop,Networks,image_ad,none,Phrase,306306,845,18338,1
5/1/2021,Desktop,Networks,image_ad,none,Retargeting,615,0,0,0
5/1/2021,Mobile,Networks,image_ad,none,Phrase,5823,120,1125,0
5/1/2021,Mobile,Networks,image_ad,none,Retargeting,33,0,0,0
5/1/2021,Desktop,Networks,image_ad,none,Phrase,2560584,4143,110964,5
5/1/2021,Desktop,Networks,image_ad,none,Retargeting,481247,815,32280,2
5/1/2021,Mobile,Networks,image_ad,none,Phrase,330028,7704,38178,1
5/1/2021,Mobile,Networks,image_ad,none,Retargeting,34384,750,9173,0
5/1/2021,Desktop,Search,mcbanner,Brand,Phrase,18606,24,20097,2
5/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,3291,10,8552,3
5/1/2021,Desktop,Search,mcbanner,Other,Phrase,17802,38,28007,4
5/1/2021,Mobile,Search,mcbanner,Brand,Phrase,46,0,0,0
5/1/2021,Mobile,Search,mcbanner,Competitor,Phrase,3,0,0,0
5/1/2021,Mobile,Search,mcbanner,Other,Phrase,74,0,0,0
5/1/2021,Desktop,Search,mcbanner,Brand,Phrase,0,0,0,0
5/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,0,0,0,0
5/1/2021,Desktop,Search,mcbanner,Other,Phrase,0,0,0,0
5/1/2021,Desktop,Search,mcbanner,Brand,Phrase,3801,8,2342,0
5/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,8660,17,4973,0
5/1/2021,Desktop,Search,mcbanner,Other,Phrase,114,0,0,0
5/1/2021,Mobile,Search,mcbanner,Brand,Phrase,6,0,0,0
5/1/2021,Mobile,Search,mcbanner,Competitor,Phrase,30,0,0,0
5/1/2021,Desktop,Search,mcbanner,Brand,Phrase,1893,5,1083,0
5/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,21784,17,4060,0
5/1/2021,Desktop,Search,mcbanner,Other,Phrase,3023,8,1997,0
5/1/2021,Mobile,Search,mcbanner,Brand,Phrase,3,0,0,0
5/1/2021,Mobile,Search,mcbanner,Competitor,Phrase,20,0,0,0
5/1/2021,Mobile,Search,mcbanner,Other,Phrase,7,0,0,0
5/1/2021,Desktop,Search,mcbanner,Brand,Phrase,60407,98,157447,12
5/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,22327,90,93306,4
5/1/2021,Desktop,Search,mcbanner,Other,Phrase,238906,371,429798,7
5/1/2021,Mobile,Search,mcbanner,Brand,Phrase,196,0,0,0
5/1/2021,Mobile,Search,mcbanner,Competitor,Phrase,162,0,0,0
